% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.234214	1	3	3	0.00333333	7.02728e+12	0
0.234214	1	1	1	0.00333333	7.02728e+12	0
0.234214	1	2	2	0.00333333	7.02728e+12	0
0.235214	1	3	3	0.00333333	7.02728e+12	0
0.235214	1	1	1	0.00333333	7.02728e+12	0
0.235214	1	2	2	0.00333333	7.02728e+12	0
0.236214	1	3	3	0.00333333	7.02728e+12	0
0.236214	1	1	1	0.00333333	7.02728e+12	0
0.236214	1	2	2	0.00333333	7.02728e+12	0
0.237214	1	3	3	0.00333333	7.02728e+12	0
0.237214	1	1	1	0.00333333	7.02728e+12	0
0.237214	1	2	2	0.00333333	7.02728e+12	0
0.238214	1	3	3	0.00333333	7.02728e+12	0
0.238214	1	1	1	0.00333333	7.02728e+12	0
0.238214	1	2	2	0.00333333	7.02728e+12	0
0.239214	1	3	3	0.00333333	7.02728e+12	0
0.239214	1	1	1	0.00333333	7.02728e+12	0
0.239214	1	2	2	0.00333333	7.02728e+12	0
0.240214	1	3	3	0.00333333	7.02728e+12	0
0.240214	1	1	1	0.00333333	7.02728e+12	0
0.240214	1	2	2	0.00333333	7.02728e+12	0
0.241214	1	3	3	0.00333333	7.02728e+12	0
0.241214	1	1	1	0.00333333	7.02728e+12	0
0.241214	1	2	2	0.00333333	7.02728e+12	0
0.242214	1	3	3	0.00333333	7.02728e+12	0
0.242214	1	1	1	0.00333333	7.02728e+12	0
0.242214	1	2	2	0.00333333	7.02728e+12	0
0.243214	1	3	3	0.00333333	7.02728e+12	0
0.243214	1	1	1	0.00333333	7.02728e+12	0
0.243214	1	2	2	0.00333333	7.02728e+12	0
0.244214	1	3	3	0.00333333	7.02728e+12	0
0.244214	1	1	1	0.00333333	7.02728e+12	0
0.244214	1	2	2	0.00333333	7.02728e+12	0
0.245214	1	3	3	0.00333333	7.02728e+12	0
0.245214	1	1	1	0.00333333	7.02728e+12	0
0.245214	1	2	2	0.00333333	7.02728e+12	0
0.246214	1	3	3	0.00333333	7.02728e+12	0
0.246214	1	1	1	0.00333333	7.02728e+12	0
0.246214	1	2	2	0.00333333	7.02728e+12	0
0.247214	1	3	3	0.00333333	7.02728e+12	0
0.247214	1	1	1	0.00333333	7.02728e+12	0
0.247214	1	2	2	0.00333333	7.02728e+12	0
0.248214	1	3	3	0.00333333	7.02728e+12	0
0.248214	1	1	1	0.00333333	7.02728e+12	0
0.248214	1	2	2	0.00333333	7.02728e+12	0
0.249214	1	3	3	0.00333333	7.02728e+12	0
0.249214	1	1	1	0.00333333	7.02728e+12	0
0.249214	1	2	2	0.00333333	7.02728e+12	0
0.250214	1	3	3	0.00333333	7.02728e+12	0
0.250214	1	1	1	0.00333333	7.02728e+12	0
0.250214	1	2	2	0.00333333	7.02728e+12	0
0.251214	1	3	3	0.00333333	7.02728e+12	0
0.251214	1	1	1	0.00333333	7.02728e+12	0
0.251214	1	2	2	0.00333333	7.02728e+12	0
0.252214	1	3	3	0.00333333	7.02728e+12	0
0.252214	1	1	1	0.00333333	7.02728e+12	0
0.252214	1	2	2	0.00333333	7.02728e+12	0
0.253214	1	3	3	0.00333333	7.02728e+12	0
0.253214	1	1	1	0.00333333	7.02728e+12	0
0.253214	1	2	2	0.00333333	7.02728e+12	0
0.254214	1	3	3	0.00333333	7.02728e+12	0
0.254214	1	1	1	0.00333333	7.02728e+12	0
0.254214	1	2	2	0.00333333	7.02728e+12	0
0.255214	1	3	3	0.00333333	7.02728e+12	0
0.255214	1	1	1	0.00333333	7.02728e+12	0
0.255214	1	2	2	0.00333333	7.02728e+12	0
0.256214	1	3	3	0.00333333	7.02728e+12	0
0.256214	1	1	1	0.00333333	7.02728e+12	0
0.256214	1	2	2	0.00333333	7.02728e+12	0
0.257214	1	3	3	0.00333333	7.02728e+12	0
0.257214	1	1	1	0.00333333	7.02728e+12	0
0.257214	1	2	2	0.00333333	7.02728e+12	0
0.258214	1	3	3	0.00333333	7.02728e+12	0
0.258214	1	1	1	0.00333333	7.02728e+12	0
0.258214	1	2	2	0.00333333	7.02728e+12	0
0.259214	1	3	3	0.00333333	7.02728e+12	0
0.259214	1	1	1	0.00333333	7.02728e+12	0
0.259214	1	2	2	0.00333333	7.02728e+12	0
0.260214	1	3	3	0.00333333	7.02728e+12	0
0.260214	1	1	1	0.00333333	7.02728e+12	0
0.260214	1	2	2	0.00333333	7.02728e+12	0
0.261214	1	3	1	0.00333333	7.02728e+12	0
0.261214	1	1	1	0.00333333	7.02728e+12	0
0.261214	1	2	2	0.00333333	7.02728e+12	0
0.262214	1	3	1	0.00333333	7.02728e+12	0
0.262214	1	1	1	0.00333333	7.02728e+12	0
0.262214	1	2	2	0.00333333	7.02728e+12	0
0.263214	1	3	1	0.00333333	7.02728e+12	0
0.263214	1	1	1	0.00333333	7.02728e+12	0
0.263214	1	2	2	0.00333333	7.02728e+12	0
0.264214	1	3	1	0.00333333	7.02728e+12	0
0.264214	1	1	1	0.00333333	7.02728e+12	0
0.264214	1	2	2	0.00333333	7.02728e+12	0
0.265214	1	3	1	0.00333333	7.02728e+12	0
0.265214	1	1	1	0.00333333	7.02728e+12	0
0.265214	1	2	2	0.00333333	7.02728e+12	0
0.266214	1	3	1	0.00333333	7.02728e+12	0
0.266214	1	1	4	0.00333333	7.02728e+12	0
0.266214	1	2	2	0.00333333	7.02728e+12	0
0.267214	1	3	1	0.00333333	7.02728e+12	0
0.267214	1	1	4	0.00333333	7.02728e+12	0
0.267214	1	2	2	0.00333333	7.02728e+12	0
0.268214	1	3	1	0.00333333	7.02728e+12	0
0.268214	1	1	4	0.00333333	7.02728e+12	0
0.268214	1	2	2	0.00333333	7.02728e+12	0
0.269214	1	3	1	0.00333333	7.02728e+12	0
0.269214	1	1	4	0.00333333	7.02728e+12	0
0.269214	1	2	2	0.00333333	7.02728e+12	0
0.270214	1	3	1	0.00333333	7.02728e+12	0
0.270214	1	1	4	0.00333333	7.02728e+12	0
0.270214	1	2	2	0.00333333	7.02728e+12	0
0.271214	1	3	1	0.00333333	7.02728e+12	0
0.271214	1	1	4	0.00333333	7.02728e+12	0
0.271214	1	2	2	0.00333333	7.02728e+12	0
0.272214	1	3	1	0.00333333	7.02728e+12	0
0.272214	1	1	4	0.00333333	7.02728e+12	0
0.272214	1	2	2	0.00333333	7.02728e+12	0
0.273214	1	3	1	0.00333333	7.02728e+12	0
0.273214	1	1	4	0.00333333	7.02728e+12	0
0.273214	1	2	2	0.00333333	7.02728e+12	0
0.274214	1	3	1	0.00333333	7.02728e+12	0
0.274214	1	1	4	0.00333333	7.02728e+12	0
0.274214	1	2	2	0.00333333	7.02728e+12	0
0.275214	1	3	1	0.00333333	7.02728e+12	0
0.275214	1	1	4	0.00333333	7.02728e+12	0
0.275214	1	2	2	0.00333333	7.02728e+12	0
0.276214	1	3	1	0.00333333	7.02728e+12	0
0.276214	1	1	4	0.00333333	7.02728e+12	0
0.276214	1	2	2	0.00333333	7.02728e+12	0
0.277214	1	3	1	0.00333333	7.02728e+12	0
0.277214	1	1	4	0.00333333	7.02728e+12	0
0.277214	1	2	2	0.00333333	7.02728e+12	0
0.278214	1	3	1	0.00333333	7.02728e+12	0
0.278214	1	1	4	0.00333333	7.02728e+12	0
0.278214	1	2	2	0.00333333	7.02728e+12	0
0.279214	1	3	1	0.00333333	7.02728e+12	0
0.279214	1	1	4	0.00333333	7.02728e+12	0
0.279214	1	2	2	0.00333333	7.02728e+12	0
0.280214	1	3	1	0.00333333	7.02728e+12	0
0.280214	1	1	4	0.00333333	7.02728e+12	0
0.280214	1	2	2	0.00333333	7.02728e+12	0
0.281214	1	3	1	0.00333333	7.02728e+12	0
0.281214	1	1	4	0.00333333	7.02728e+12	0
0.281214	1	2	2	0.00333333	7.02728e+12	0
0.282214	1	3	1	0.00333333	7.02728e+12	0
0.282214	1	1	4	0.00333333	7.02728e+12	0
0.282214	1	2	2	0.00333333	7.02728e+12	0
0.283214	1	3	1	0.00333333	7.02728e+12	0
0.283214	1	1	4	0.00333333	7.02728e+12	0
0.283214	1	2	2	0.00333333	7.02728e+12	0
0.284214	1	3	1	0.00333333	7.02728e+12	0
0.284214	1	1	4	0.00333333	7.02728e+12	0
0.284214	1	2	2	0.00333333	7.02728e+12	0
0.285214	1	3	1	0.00333333	7.02728e+12	0
